index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/24 18:55:49.945, 8.66 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 18:55:59.963, 8.85 W, 119 MHz, 405 MHz, 119 MHz
0, 2022/03/24 18:56:09.974, 8.66 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 18:56:19.987, 8.41 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 18:56:30.005, 9.05 W, 149 MHz, 405 MHz, 149 MHz
0, 2022/03/24 18:56:40.014, 7.97 W, 106 MHz, 405 MHz, 106 MHz
0, 2022/03/24 18:56:50.026, 8.02 W, 76 MHz, 405 MHz, 76 MHz
0, 2022/03/24 18:57:00.032, 8.80 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:57:10.054, 8.22 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:57:20.071, 8.31 W, 76 MHz, 405 MHz, 76 MHz
0, 2022/03/24 18:57:30.080, 8.27 W, 76 MHz, 405 MHz, 76 MHz
0, 2022/03/24 18:57:40.093, 8.02 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:57:50.108, 7.88 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:58:00.116, 7.87 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:58:10.135, 7.78 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:58:20.148, 7.97 W, 77 MHz, 405 MHz, 77 MHz
0, 2022/03/24 18:58:30.161, 7.97 W, 76 MHz, 405 MHz, 76 MHz
0, 2022/03/24 18:58:40.179, 8.07 W, 72 MHz, 405 MHz, 72 MHz
0, 2022/03/24 18:58:50.184, 8.07 W, 103 MHz, 405 MHz, 103 MHz
0, 2022/03/24 18:59:00.204, 7.53 W, 73 MHz, 405 MHz, 73 MHz
0, 2022/03/24 18:59:10.211, 7.78 W, 83 MHz, 405 MHz, 83 MHz
0, 2022/03/24 18:59:20.221, 7.97 W, 83 MHz, 405 MHz, 83 MHz
0, 2022/03/24 18:59:30.230, 33.86 W, 1301 MHz, 4006 MHz, 1301 MHz
0, 2022/03/24 18:59:40.241, 33.84 W, 1506 MHz, 4006 MHz, 1506 MHz
0, 2022/03/24 18:59:50.258, 34.10 W, 1506 MHz, 4006 MHz, 1506 MHz
0, 2022/03/24 19:00:00.267, 34.20 W, 1506 MHz, 4006 MHz, 1506 MHz
0, 2022/03/24 19:00:10.272, 8.99 W, 330 MHz, 810 MHz, 330 MHz
0, 2022/03/24 19:00:20.281, 8.22 W, 90 MHz, 405 MHz, 90 MHz
0, 2022/03/24 19:00:30.286, 7.97 W, 90 MHz, 405 MHz, 90 MHz
0, 2022/03/24 19:00:40.302, 7.88 W, 166 MHz, 405 MHz, 166 MHz
0, 2022/03/24 19:00:50.311, 7.97 W, 95 MHz, 405 MHz, 95 MHz
0, 2022/03/24 19:01:00.324, 7.97 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 19:01:10.340, 7.68 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 19:01:20.355, 7.97 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 19:01:30.371, 7.88 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 19:01:40.376, 7.97 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 19:01:50.390, 7.88 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 19:02:00.396, 8.07 W, 119 MHz, 405 MHz, 119 MHz
0, 2022/03/24 19:02:10.411, 8.17 W, 118 MHz, 405 MHz, 118 MHz
0, 2022/03/24 19:02:20.419, 7.63 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:02:30.435, 7.63 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:02:40.441, 7.63 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:02:50.450, 7.63 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:03:00.463, 7.73 W, 86 MHz, 405 MHz, 86 MHz
0, 2022/03/24 19:03:10.467, 7.53 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:03:20.471, 7.63 W, 106 MHz, 405 MHz, 106 MHz
0, 2022/03/24 19:03:30.489, 7.44 W, 86 MHz, 405 MHz, 86 MHz
0, 2022/03/24 19:03:40.500, 8.36 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 19:03:50.520, 7.44 W, 86 MHz, 405 MHz, 86 MHz
0, 2022/03/24 19:04:00.531, 7.73 W, 82 MHz, 405 MHz, 82 MHz
0, 2022/03/24 19:04:10.543, 7.53 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 19:04:20.554, 7.63 W, 83 MHz, 405 MHz, 83 MHz
